Size:      Time:
      1000 0.0000028400
      2000 0.0000028298
      3000 0.0000022128
      4000 0.0000022866
      5000 0.0000023809
      6000 0.0000024575
      7000 0.0000025853
      8000 0.0000026234
      9000 0.0000027288
     10000 0.0000027982
     11000 0.0000029023
     12000 0.0000030083
     13000 0.0000030804
     14000 0.0000031442
     15000 0.0000032444
     16000 0.0000036332
     17000 0.0000037342
     18000 0.0000036934
     19000 0.0000035500
     20000 0.0000037158
     21000 0.0000039494
     22000 0.0000038034
     23000 0.0000038365
     24000 0.0000039961
     25000 0.0000039755
     26000 0.0000040673
     27000 0.0000041245
     28000 0.0000042058
     29000 0.0000042567
     30000 0.0000044922
     31000 0.0000048090
     32000 0.0000044436
     33000 0.0000049526
     34000 0.0000046363
     35000 0.0000047868
     36000 0.0000050077
     37000 0.0000051358
     38000 0.0000049022
     39000 0.0000052798
     40000 0.0000051471
     41000 0.0000052306
     42000 0.0000052199
     43000 0.0000052996
     44000 0.0000054470
     45000 0.0000058089
     46000 0.0000055366
     47000 0.0000055885
     48000 0.0000056729
     49000 0.0000057853
     50000 0.0000058740
     51000 0.0000058648
     52000 0.0000059944
     53000 0.0000060165
     54000 0.0000060391
     55000 0.0000062481
     56000 0.0000063518
     57000 0.0000063389
     58000 0.0000063931
     59000 0.0000063852
     60000 0.0000064428
     61000 0.0000065494
     62000 0.0000066368
     63000 0.0000066813
     64000 0.0000067701
     65000 0.0000068491
     66000 0.0000142146
     67000 0.0000141592
     68000 0.0000142325
     69000 0.0000141415
     70000 0.0000145650
     71000 0.0000144555
     72000 0.0000143576
     73000 0.0000145033
     74000 0.0000149493
     75000 0.0000146943
     76000 0.0000146308
     77000 0.0000147237
     78000 0.0000147277
     79000 0.0000155809
     80000 0.0000149941
     81000 0.0000149710
     82000 0.0000149870
     83000 0.0000151736
     84000 0.0000152154
     85000 0.0000153130
     86000 0.0000152648
     87000 0.0000154427
     88000 0.0000154844
     89000 0.0000155442
     90000 0.0000156166
     91000 0.0000157847
     92000 0.0000157991
     93000 0.0000159090
     94000 0.0000159989
     95000 0.0000160812
     96000 0.0000160839
     97000 0.0000162086
     98000 0.0000161762
     99000 0.0000163256
    100000 0.0000163894
    101000 0.0000164430
    102000 0.0000165740
    103000 0.0000166259
    104000 0.0000167424
    105000 0.0000167753
    106000 0.0000167361
    107000 0.0000169212
    108000 0.0000170159
    109000 0.0000170722
    110000 0.0000170545
    111000 0.0000171625
    112000 0.0000172660
    113000 0.0000172835
    114000 0.0000172520
    115000 0.0000173488
    116000 0.0000175242
    117000 0.0000177040
    118000 0.0000176289
    119000 0.0000177342
    120000 0.0000178047
    121000 0.0000179003
    122000 0.0000178964
    123000 0.0000179486
    124000 0.0000181065
    125000 0.0000181560
    126000 0.0000191191
    127000 0.0000182433
    128000 0.0000184261
    129000 0.0000186872
    130000 0.0000185458
    131000 0.0000192375
    132000 0.0000199683
    133000 0.0000195034
    134000 0.0000195426
    135000 0.0000196865
    136000 0.0000198019
    137000 0.0000202326
    138000 0.0000201714
    139000 0.0000206852
    140000 0.0000207049
    141000 0.0000208830
    142000 0.0000207471
    143000 0.0000212559
    144000 0.0000208947
    145000 0.0000210788
    146000 0.0000212070
    147000 0.0000212321
    148000 0.0000213475
    149000 0.0000215845
    150000 0.0000217110
    151000 0.0000218414
    152000 0.0000218619
    153000 0.0000220733
    154000 0.0000222203
    155000 0.0000222747
    156000 0.0000223074
    157000 0.0000224785
    158000 0.0000230657
    159000 0.0000227767
    160000 0.0000227527
    161000 0.0000228644
    162000 0.0000229467
    163000 0.0000234694
    164000 0.0000231423
    165000 0.0000229599
    166000 0.0000232727
    167000 0.0000231152
    168000 0.0000230937
    169000 0.0000232579
    170000 0.0000231942
    171000 0.0000232528
    172000 0.0000231989
    173000 0.0000232691
    174000 0.0000234182
    175000 0.0000233995
    176000 0.0000234280
    177000 0.0000243958
    178000 0.0000236787
    179000 0.0000236272
    180000 0.0000237024
    181000 0.0000241486
    182000 0.0000242507
    183000 0.0000239514
    184000 0.0000241628
    185000 0.0000241960
    186000 0.0000242240
    187000 0.0000243421
    188000 0.0000246548
    189000 0.0000244555
    190000 0.0000245401
    191000 0.0000246459
    192000 0.0000246334
    193000 0.0000247015
    194000 0.0000247484
    195000 0.0000248957
    196000 0.0000249627
    197000 0.0000257763
    198000 0.0000259503
    199000 0.0000261876
    200000 0.0000262627
    201000 0.0000264545
    202000 0.0000266850
    203000 0.0000272308
    204000 0.0000268893
    205000 0.0000271809
    206000 0.0000271681
    207000 0.0000273847
    208000 0.0000274518
    209000 0.0000275997
    210000 0.0000275985
    211000 0.0000276855
    212000 0.0000279286
    213000 0.0000277959
    214000 0.0000279221
    215000 0.0000280735
    216000 0.0000280972
    217000 0.0000282640
    218000 0.0000282790
    219000 0.0000284628
    220000 0.0000283758
    221000 0.0000285236
    222000 0.0000289184
    223000 0.0000288997
    224000 0.0000296248
    225000 0.0000299086
    226000 0.0000295549
    227000 0.0000289620
    228000 0.0000288506
    229000 0.0000288104
    230000 0.0000291101
    231000 0.0000288923
    232000 0.0000288363
    233000 0.0000294196
    234000 0.0000295756
    235000 0.0000289059
    236000 0.0000293468
    237000 0.0000289930
    238000 0.0000292693
    239000 0.0000296238
    240000 0.0000291877
    241000 0.0000292613
    242000 0.0000293633
    243000 0.0000293926
    244000 0.0000293898
    245000 0.0000300625
    246000 0.0000295667
    247000 0.0000295702
    248000 0.0000295417
    249000 0.0000295136
    250000 0.0000296346
    251000 0.0000297216
    252000 0.0000297429
    253000 0.0000299278
    254000 0.0000306291
    255000 0.0000307293
    256000 0.0000301023
    257000 0.0000302794
    258000 0.0000302969
    259000 0.0000303598
    260000 0.0000311853
    261000 0.0000328962
    262000 0.0000333754
    263000 0.0000319475
    264000 0.0000319591
    265000 0.0000320421
    266000 0.0000329163
    267000 0.0000327533
    268000 0.0000326358
    269000 0.0000326837
    270000 0.0000337865
    271000 0.0000332642
    272000 0.0000330509
    273000 0.0000332368
    274000 0.0000333864
    275000 0.0000333608
    276000 0.0000335034
    277000 0.0000335503
    278000 0.0000337341
    279000 0.0000337501
    280000 0.0000343354
    281000 0.0000340831
    282000 0.0000341613
    283000 0.0000340510
    284000 0.0000341603
    285000 0.0000342605
    286000 0.0000343684
    287000 0.0000343951
    288000 0.0000344976
    289000 0.0000346114
    290000 0.0000345094
    291000 0.0000345648
    292000 0.0000347197
    293000 0.0000348884
    294000 0.0000347005
    295000 0.0000346568
    296000 0.0000347984
    297000 0.0000351277
    298000 0.0000348135
    299000 0.0000350926
    300000 0.0000348885
    301000 0.0000350149
    302000 0.0000349948
    303000 0.0000350972
    304000 0.0000351666
    305000 0.0000353237
    306000 0.0000353809
    307000 0.0000354846
    308000 0.0000355502
    309000 0.0000357110
    310000 0.0000357445
    311000 0.0000357625
    312000 0.0000358608
    313000 0.0000359670
    314000 0.0000359717
    315000 0.0000359735
    316000 0.0000371086
    317000 0.0000361884
    318000 0.0000361256
    319000 0.0000361911
    320000 0.0000362267
    321000 0.0000365452
    322000 0.0000364529
    323000 0.0000364815
    324000 0.0000368267
    325000 0.0000366587
    326000 0.0000367988
    327000 0.0000368367
    328000 0.0000382898
    329000 0.0000386406
    330000 0.0000388567
    331000 0.0000385820
    332000 0.0000385769
    333000 0.0000387170
    334000 0.0000389453
    335000 0.0000389693
    336000 0.0000391139
    337000 0.0000393395
    338000 0.0000394459
    339000 0.0000395153
    340000 0.0000396861
    341000 0.0000397920
    342000 0.0000399965
    343000 0.0000400697
    344000 0.0000402113
    345000 0.0000404391
    346000 0.0000405251
    347000 0.0000407635
    348000 0.0000406970
    349000 0.0000410190
    350000 0.0000412667
    351000 0.0000413618
    352000 0.0000413274
    353000 0.0000415549
    354000 0.0000416014
    355000 0.0000416510
    356000 0.0000423744
    357000 0.0000429334
    358000 0.0000424752
    359000 0.0000433049
    360000 0.0000464750
    361000 0.0000455570
    362000 0.0000472621
    363000 0.0000461490
    364000 0.0000440775
    365000 0.0000452997
    366000 0.0000433940
    367000 0.0000428173
    368000 0.0000428731
    369000 0.0000431591
    370000 0.0000426304
    371000 0.0000430239
    372000 0.0000423191
    373000 0.0000425040
    374000 0.0000426396
    375000 0.0000424186
    376000 0.0000423068
    377000 0.0000423279
    378000 0.0000423036
    379000 0.0000422234
    380000 0.0000420417
    381000 0.0000421951
    382000 0.0000430822
    383000 0.0000422390
    384000 0.0000423757
    385000 0.0000427411
    386000 0.0000425985
    387000 0.0000427349
    388000 0.0000430486
    389000 0.0000429928
    390000 0.0000428080
    391000 0.0000426934
    392000 0.0000428565
    393000 0.0000454542
    394000 0.0000471709
    395000 0.0000486445
    396000 0.0000480399
    397000 0.0000479176
    398000 0.0000470665
    399000 0.0000459645
    400000 0.0000453282
    401000 0.0000466184
    402000 0.0000457464
    403000 0.0000457653
    404000 0.0000457251
    405000 0.0000462101
    406000 0.0000462356
    407000 0.0000462558
    408000 0.0000463507
    409000 0.0000462251
    410000 0.0000462748
    411000 0.0000469663
    412000 0.0000467519
    413000 0.0000466443
    414000 0.0000465771
    415000 0.0000468066
    416000 0.0000467752
    417000 0.0000480355
    418000 0.0000478782
    419000 0.0000473369
    420000 0.0000472372
    421000 0.0000470911
    422000 0.0000469229
    423000 0.0000470497
    424000 0.0000470761
