Size:      Time:
       100 0.0000127090
       200 0.0000047610
       300 0.0000043370
       400 0.0000075200
       500 0.0000049650
       600 0.0000051720
       700 0.0000049340
       800 0.0000048560
       900 0.0000052450
      1000 0.0000056040
      1100 0.0000050470
      1200 0.0000046160
      1300 0.0000046990
      1400 0.0000048980
      1500 0.0000044850
      1600 0.0000055120
      1700 0.0000055770
      1800 0.0000059750
      1900 0.0000055220
      2000 0.0000046320
      2100 0.0000050040
      2200 0.0000064610
      2300 0.0000066470
      2400 0.0000061290
      2500 0.0000060350
      2600 0.0000053080
      2700 0.0000039060
      2800 0.0000048190
      2900 0.0000045560
      3000 0.0000058970
      3100 0.0000052330
      3200 0.0000048130
      3300 0.0000061470
      3400 0.0000048310
      3500 0.0000045800
      3600 0.0000049090
      3700 0.0000048960
      3800 0.0000055800
      3900 0.0000076410
      4000 0.0000056380
      4100 0.0000053420
      4200 0.0000066980
      4300 0.0000063100
      4400 0.0000064920
      4500 0.0000053370
      4600 0.0000051680
      4700 0.0000060620
      4800 0.0000087210
      4900 0.0000071010
      5000 0.0000064320
      5100 0.0000046580
      5200 0.0000048760
      5300 0.0000061660
      5400 0.0000050990
      5500 0.0000072290
      5600 0.0000050700
      5700 0.0000053350
      5800 0.0000059590
      5900 0.0000051700
      6000 0.0000052660
      6100 0.0000048630
      6200 0.0000055290
      6300 0.0000074770
      6400 0.0000053590
      6500 0.0000061480
      6600 0.0000076080
      6700 0.0000091660
      6800 0.0000049910
      6900 0.0000062870
      7000 0.0000050750
      7100 0.0000057140
      7200 0.0000080040
      7300 0.0000049400
      7400 0.0000061070
      7500 0.0000055920
      7600 0.0000342150
      7700 0.0000081300
      7800 0.0000054200
      7900 0.0000050020
      8000 0.0000046450
      8100 0.0000048900
      8200 0.0000083110
      8300 0.0000053510
      8400 0.0000057000
      8500 0.0000087010
      8600 0.0000049240
      8700 0.0000052470
      8800 0.0000070040
      8900 0.0000048230
      9000 0.0000098660
      9100 0.0000063190
      9200 0.0000050920
      9300 0.0000059230
      9400 0.0000072530
      9500 0.0000055030
      9600 0.0000059400
      9700 0.0000053960
      9800 0.0000071740
      9900 0.0000057500
     10000 0.0000063560
     10100 0.0000067960
     10200 0.0000048240
     10300 0.0000055430
     10400 0.0000056040
     10500 0.0000053950
     10600 0.0000073000
     10700 0.0000081550
     10800 0.0000058780
     10900 0.0000068830
     11000 0.0000066920
     11100 0.0000055760
     11200 0.0000083700
     11300 0.0000064380
     11400 0.0000056060
     11500 0.0000091630
     11600 0.0000073640
     11700 0.0000057850
     11800 0.0000065690
     11900 0.0000057910
     12000 0.0000070070
     12100 0.0000113630
     12200 0.0000063880
     12300 0.0000066940
     12400 0.0000062760
     12500 0.0000085090
     12600 0.0000057930
     12700 0.0000086140
     12800 0.0000057240
     12900 0.0000058500
     13000 0.0000055950
     13100 0.0000054290
     13200 0.0000078150
     13300 0.0000091750
     13400 0.0000116010
     13500 0.0000054030
     13600 0.0000058870
     13700 0.0000053880
     13800 0.0000085220
     13900 0.0000055600
     14000 0.0000066890
     14100 0.0000060710
     14200 0.0000095400
     14300 0.0000066030
     14400 0.0000057000
     14500 0.0000073070
     14600 0.0000058540
     14700 0.0000082630
     14800 0.0000095530
     14900 0.0000060670
     15000 0.0000062430
     15100 0.0000059840
     15200 0.0000060950
     15300 0.0000059880
     15400 0.0000092090
     15500 0.0000068200
     15600 0.0000081850
     15700 0.0000243540
     15800 0.0000068540
     15900 0.0000061260
     16000 0.0000058510
     16100 0.0000072550
     16200 0.0000070550
     16300 0.0000055960
     16400 0.0000059880
     16500 0.0000051090
     16600 0.0000058460
     16700 0.0000083140
     16800 0.0000069600
     16900 0.0000073000
     17000 0.0000057330
     17100 0.0000066700
     17200 0.0000059370
     17300 0.0000069830
     17400 0.0000066270
     17500 0.0000068630
     17600 0.0000123030
     17700 0.0000055760
     17800 0.0000087740
     17900 0.0000051860
     18000 0.0000069040
     18100 0.0000071700
     18200 0.0000075460
     18300 0.0000056860
     18400 0.0000073920
     18500 0.0000159920
     18600 0.0000072500
     18700 0.0000054560
     18800 0.0000083750
     18900 0.0000066030
     19000 0.0000073810
     19100 0.0000053220
     19200 0.0000257970
     19300 0.0000054280
     19400 0.0000071170
     19500 0.0000106020
     19600 0.0000067550
     19700 0.0000095810
     19800 0.0000055980
     19900 0.0000079100
     20000 0.0000054320
     20100 0.0000106430
     20200 0.0000065970
     20300 0.0000120060
     20400 0.0000066420
     20500 0.0000055290
     20600 0.0000070720
     20700 0.0000054090
     20800 0.0000051720
     20900 0.0000067960
     21000 0.0000053930
     21100 0.0000075880
     21200 0.0000091310
     21300 0.0000064750
     21400 0.0000100930
     21500 0.0000072160
     21600 0.0000056270
     21700 0.0000071360
     21800 0.0000051500
     21900 0.0000079160
     22000 0.0000066650
     22100 0.0000068710
     22200 0.0000055570
     22300 0.0000064230
     22400 0.0000068770
     22500 0.0000133090
     22600 0.0000056570
     22700 0.0000068740
     22800 0.0000069330
     22900 0.0000057010
     23000 0.0000055770
     23100 0.0000096410
     23200 0.0000105060
     23300 0.0000073780
     23400 0.0000353100
     23500 0.0000074630
     23600 0.0000072080
     23700 0.0000198770
     23800 0.0000100660
     23900 0.0000073550
     24000 0.0000054450
     24100 0.0000073800
     24200 0.0000056620
     24300 0.0000084670
     24400 0.0000054890
     24500 0.0000056010
     24600 0.0000088780
     24700 0.0000060170
     24800 0.0000087990
     24900 0.0000055070
     25000 0.0000078260
     25100 0.0000092910
     25200 0.0000094270
     25300 0.0000067010
     25400 0.0000099380
     25500 0.0000074130
     25600 0.0000065680
     25700 0.0000078540
     25800 0.0000067360
     25900 0.0000076390
     26000 0.0000069370
     26100 0.0000082930
     26200 0.0000066340
     26300 0.0000078110
     26400 0.0000070110
     26500 0.0000054460
     26600 0.0000057210
     26700 0.0000103630
     26800 0.0000056460
     26900 0.0000055650
     27000 0.0000086100
     27100 0.0000085290
     27200 0.0000057690
     27300 0.0000079060
     27400 0.0000055830
     27500 0.0000097460
     27600 0.0000056120
     27700 0.0000085770
     27800 0.0000083240
     27900 0.0000059740
     28000 0.0000070440
     28100 0.0000095760
     28200 0.0000088010
     28300 0.0000056990
     28400 0.0000056080
     28500 0.0000055610
     28600 0.0000057110
     28700 0.0000057390
     28800 0.0000076620
     28900 0.0000091780
     29000 0.0000062430
     29100 0.0000056170
     29200 0.0000062180
     29300 0.0000262890
     29400 0.0000085110
     29500 0.0000059000
     29600 0.0000072750
     29700 0.0000055390
     29800 0.0000078900
     29900 0.0000092670
     30000 0.0000078750
     30100 0.0000073560
     30200 0.0000086070
     30300 0.0000094810
     30400 0.0000078930
     30500 0.0000062750
     30600 0.0000086820
     30700 0.0000095230
     30800 0.0000066390
     30900 0.0000063010
     31000 0.0000059700
     31100 0.0000059010
     31200 0.0000069590
     31300 0.0000102430
     31400 0.0000066460
     31500 0.0000091640
     31600 0.0000084350
     31700 0.0000084090
     31800 0.0000076410
     31900 0.0000068490
     32000 0.0000086340
     32100 0.0000068690
     32200 0.0000070510
     32300 0.0000083580
     32400 0.0000071370
     32500 0.0000064620
     32600 0.0000088600
     32700 0.0000078650
     32800 0.0000086040
     32900 0.0000094450
     33000 0.0000102510
     33100 0.0000101250
     33200 0.0000107350
     33300 0.0000111690
     33400 0.0000101870
     33500 0.0000123120
     33600 0.0000102950
     33700 0.0000101840
     33800 0.0000110530
     33900 0.0000106570
     34000 0.0000108170
     34100 0.0000115470
     34200 0.0000102530
     34300 0.0000112140
     34400 0.0000129020
     34500 0.0000100420
     34600 0.0000095990
     34700 0.0000131740
     34800 0.0000091920
     34900 0.0000102620
     35000 0.0000122360
     35100 0.0000110030
     35200 0.0000098810
     35300 0.0000103380
     35400 0.0000105800
     35500 0.0000100930
     35600 0.0000100290
     35700 0.0000139010
     35800 0.0000122060
     35900 0.0000095160
     36000 0.0000092800
     36100 0.0000102760
     36200 0.0000099040
     36300 0.0000180110
     36400 0.0000108440
     36500 0.0000121600
     36600 0.0000112300
     36700 0.0000095970
     36800 0.0000118840
     36900 0.0000108120
     37000 0.0000097980
     37100 0.0000102860
     37200 0.0000106260
     37300 0.0000114610
     37400 0.0000123150
     37500 0.0000107850
     37600 0.0000112520
     37700 0.0000107740
     37800 0.0000131810
     37900 0.0000283430
     38000 0.0000132470
     38100 0.0000117170
     38200 0.0000105410
     38300 0.0000107800
     38400 0.0000106580
     38500 0.0000114130
     38600 0.0000096160
     38700 0.0000107610
     38800 0.0000096400
     38900 0.0000113390
     39000 0.0000115460
     39100 0.0000115630
     39200 0.0000112600
     39300 0.0000093320
     39400 0.0000107010
     39500 0.0000125730
     39600 0.0000108320
     39700 0.0000103420
     39800 0.0000111030
     39900 0.0000097330
     40000 0.0000110600
     41000 0.0000128980
     42000 0.0000128240
     43000 0.0000091350
     44000 0.0000091160
     45000 0.0000128220
     46000 0.0000130140
     47000 0.0000090260
     48000 0.0000119410
     49000 0.0000112400
     50000 0.0000118870
     51000 0.0000115670
     52000 0.0000125540
     53000 0.0000120350
     54000 0.0000115190
     55000 0.0000103150
     56000 0.0000116420
     57000 0.0000127030
     58000 0.0000156790
     59000 0.0000204900
     60000 0.0000128060
     61000 0.0000141280
     62000 0.0000114470
     63000 0.0000135050
     64000 0.0000117700
     65000 0.0000109230
     66000 2.0001869080
     67000 2.0001581740
     68000 2.0001570640
     69000 2.0001503240
     70000 2.0001661560
     71000 2.0001212750
     72000 2.0001604820
     73000 2.0001694580
     74000 2.0001741650
     75000 2.0001682720
     76000 2.0001560750
     77000 2.0001516550
     78000 2.0001599770
     79000 2.0002104640
     80000 2.0001740080
     81000 2.0001639100
     82000 2.0001467260
     83000 2.0001946180
     84000 2.0001622470
     85000 2.0001557650
     86000 2.0001670700
     87000 2.0001627430
     88000 2.0001608530
     89000 2.0001825850
     90000 2.0001729230
     91000 2.0001620460
     92000 2.0001713470
     93000 2.0001632700
     94000 2.0001658680
     95000 2.0001601660
     96000 2.0001649600
     97000 2.0002249390
     98000 2.0001581660

